knot_id,N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,frac,method_name,n_plateau,a_lo,a_hi,a_span,a_span_over_dmin,a_ref,A_ref,A_median,A_std,A_min,A_max,A_median_minus_Areq,rel_dE_median,rel_dE_min,rel_dE_max,rel_dE_thresh,ideal_source,bs_backend
9;1:2,48000,48000,48000,16.37149808226001,0.9973848903377615,0.02,plateau_0.02,12,0.0011615174318638833,0.018899312305354493,0.01773779487349061,0.017784302775515036,0.005318637906984519,0.08140805545422615,0.08016342307711448,0.011939543086911641,0.052452454486815354,0.10530489184507347,0.0005859515311668062,0.051546696020791025,0.025331004240007105,0.06732691908744985,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,48000,48000,48000,16.37149808226001,0.9973848903377615,0.04,plateau_0.04,14,0.0011615174318638833,0.031383706419548164,0.030222188987684282,0.03030143055149916,0.006853770217170335,0.07884722385177562,0.07992442485700885,0.011054186210271471,0.052452454486815354,0.10530489184507347,0.0003469533110611739,0.05331714010240721,0.025331004240007105,0.07693785198096556,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,48000,48000,48000,16.37149808226001,0.9973848903377615,0.06,plateau_0.06,16,0.0011615174318638833,0.05211496655089081,0.050953449119026925,0.051087047350167586,0.008831991763922091,0.08499008167301818,0.07971979826774167,0.010340575978080564,0.052452454486815354,0.10530489184507347,0.00014232672179399775,0.055782397425720345,0.025331004240007105,0.09095542515025495,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,48000,48000,48000,16.37149808226001,0.9973848903377615,0.08,plateau_0.08,17,0.0011615174318638833,0.06715704506717106,0.06599552763530718,0.06616856569078161,0.008831991763922091,0.08499008167301818,0.07957048291905473,0.010032302235494294,0.052452454486815354,0.10530489184507347,-6.9886268929397755e-06,0.0570031297858148,0.025331004240007105,0.09985083466235976,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,48000,48000,48000,16.37149808226001,0.9973848903377615,0.1,plateau_0.10,18,0.0011615174318638833,0.08654075787902338,0.0853792404471595,0.08560310194617654,0.011381192547507463,0.07697366294540407,0.07953780584134007,0.009750090187874686,0.052452454486815354,0.10530489184507347,-3.966570460760266e-05,0.058108003123017324,0.025331004240007105,0.11090155939785287,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,48000,48000,48000,16.37149808226001,0.9973848903377615,0.12,plateau_0.12,19,0.0011615174318638833,0.11151924219990442,0.11035772476804054,0.11064707901346713,0.011381192547507463,0.07697366294540407,0.07950512876362542,0.009490779075230967,0.052452454486815354,0.10530489184507347,-7.234278232225166e-05,0.05921287646021984,0.025331004240007105,0.12450518028765414,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,48000,48000,48000,16.37149808226001,0.9973848903377615,0.14,plateau_0.14,19,0.0011615174318638833,0.11151924219990442,0.11035772476804054,0.11064707901346713,0.011381192547507463,0.07697366294540407,0.07950512876362542,0.009490779075230967,0.052452454486815354,0.10530489184507347,-7.234278232225166e-05,0.05921287646021984,0.025331004240007105,0.12450518028765414,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,48000,48000,48000,16.37149808226001,0.9973848903377615,0.16,plateau_0.16,20,0.0011615174318638833,0.14370733150068055,0.14254581406881667,0.14291956440260886,0.014666175792029654,0.0799797360975891,0.07949755740550699,0.00925207032965798,0.052452454486815354,0.10530489184507347,-7.991414044068723e-05,0.06101125526004163,0.025331004240007105,0.1416938575031449,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,64000,64000,64000,16.371498082260015,0.9973848894512589,0.01,plateau_0.01,10,0.0008766032473543995,0.009612894511657085,0.008736291264302686,0.008759197534172808,0.0033159596909675257,0.06928794207832259,0.0801593563063883,0.02261672918459719,0.04984372528109431,0.1345781318567602,0.0005818847604406319,0.052154866874402364,0.02427004946763839,0.0669744612728992,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,64000,64000,64000,16.371498082260015,0.9973848894512589,0.02,plateau_0.02,12,0.0008766032473543995,0.016367284953726347,0.015490681706371948,0.015531297766998063,0.004326836414777103,0.08857472913750297,0.0801593563063883,0.02064672575281073,0.04984372528109431,0.1345781318567602,0.0005818847604406319,0.05306934556021742,0.02427004946763839,0.06743921271680764,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,64000,64000,64000,16.371498082260015,0.9973848894512589,0.04,plateau_0.04,15,0.0008766032473543995,0.03636305342283406,0.03548645017547966,0.03557949448683105,0.005645880862556155,0.08021278031404096,0.07965419130596678,0.01846747847877856,0.04984372528109431,0.1345781318567602,7.671976001910608e-05,0.055874072827795274,0.02427004946763839,0.08439044582074151,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,64000,64000,64000,16.371498082260015,0.9973848894512589,0.06,plateau_0.06,16,0.0008766032473543995,0.04744840057343884,0.04657179732608444,0.04669390705498587,0.007367038560855767,0.07442827282833997,0.07964150898867722,0.017881193630341706,0.04984372528109431,0.1345781318567602,6.403744272955036e-05,0.05796450132748585,0.02427004946763839,0.0920999313629508,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,64000,64000,64000,16.371498082260015,0.9973848894512589,0.08,plateau_0.08,17,0.0008766032473543995,0.061913137238463666,0.06103653399110927,0.0611965697863042,0.007367038560855767,0.07442827282833997,0.07962882667138765,0.017347442983936815,0.04984372528109431,0.1345781318567602,5.1355125439980776e-05,0.06005492982717643,0.02427004946763839,0.10141151582800959,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,64000,64000,64000,16.371498082260015,0.9973848894512589,0.1,plateau_0.10,18,0.0008766032473543995,0.08078747684605084,0.07991087359869643,0.08012039729483147,0.009612894511657085,0.08059615253548234,0.07958216002024998,0.01685890981210438,0.04984372528109431,0.1345781318567602,4.688474302308454e-06,0.06186345455727344,0.02427004946763839,0.11270752128108795,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,64000,64000,64000,16.371498082260015,0.9973848894512589,0.12,plateau_0.12,19,0.0008766032473543995,0.10541569538001909,0.10453909213266468,0.10481319021203539,0.009612894511657085,0.08059615253548234,0.07953549336911231,0.016409640746612452,0.04984372528109431,0.1345781318567602,-4.197817683536387e-05,0.06367197928737045,0.02427004946763839,0.12679604516138654,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,64000,64000,64000,16.371498082260015,0.9973848894512589,0.14,plateau_0.14,20,0.0008766032473543995,0.1375518739572592,0.13667527070990482,0.13703362879810702,0.012543403991835855,0.08031866311667683,0.07950586741408242,0.01599497025947524,0.04984372528109431,0.1345781318567602,-7.160413186525771e-05,0.06532322028013482,0.02427004946763839,0.1447083348483193,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,64000,64000,64000,16.371498082260015,0.9973848894512589,0.16,plateau_0.16,20,0.0008766032473543995,0.1375518739572592,0.13667527070990482,0.13703362879810702,0.012543403991835855,0.08031866311667683,0.07950586741408242,0.01599497025947524,0.04984372528109431,0.1345781318567602,-7.160413186525771e-05,0.06532322028013482,0.02427004946763839,0.1447083348483193,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
