N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,frac,method_name,n_plateau,a_lo,a_hi,a_span,a_span_over_dmin,a_ref,A_ref,A_median,A_std,A_min,A_max,A_median_minus_Areq,rel_dE_median,rel_dE_min,rel_dE_max,rel_dE_thresh,ideal_source,bs_backend
32000,32000,32000,16.372460430715797,0.9999704050183138,0.02,plateau_0.02,11,0.0017272137162901559,0.018304173699959028,0.01657695998366887,0.016577450593015575,0.005622741313623346,0.09244669161845558,0.07959323034894507,0.018891526683667746,0.048157405446885536,0.12360433985887495,1.5758802997395405e-05,0.05054278167089592,0.026411129352283742,0.06557092319408377,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.372460430715797,0.9999704050183138,0.04,plateau_0.04,14,0.0017272137162901559,0.03716304947240784,0.03543583575611768,0.03543688451006577,0.009015481226507754,0.07736566289279313,0.07919721099860583,0.0168128800884203,0.048157405446885536,0.12360433985887495,-0.0003802605473418458,0.05338720357496836,0.026411129352283742,0.07503493572683648,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.372460430715797,0.9999704050183138,0.06,plateau_0.06,16,0.0017272137162901559,0.05958708682302286,0.057859873106732705,0.05786158551929648,0.01141587798684425,0.09041114234292666,0.08002665728210928,0.015729189539724766,0.048157405446885536,0.12360433985887495,0.0004491857361616086,0.05824052570501731,0.026411129352283742,0.09042083831616161,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.372460430715797,0.9999704050183138,0.08,plateau_0.08,17,0.0017272137162901559,0.07545231315695632,0.07372509944066616,0.07372728139820892,0.01141587798684425,0.09041114234292666,0.07959323034894507,0.01526384990359554,0.048157405446885536,0.12360433985887495,1.5758802997395405e-05,0.06196032863664986,0.026411129352283742,0.09659667277707393,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.372460430715797,0.9999704050183138,0.1,plateau_0.10,18,0.0017272137162901559,0.09554169979217308,0.09381448607588293,0.0938172625960513,0.014455387009995126,0.0712175795813289,0.07964105459488258,0.014833798404438282,0.048157405446885536,0.12360433985887495,6.358304893490374e-05,0.062084966902822114,0.026411129352283742,0.10885062507995631,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.372460430715797,0.9999704050183138,0.12,plateau_0.12,18,0.0017272137162901559,0.09554169979217308,0.09381448607588293,0.0938172625960513,0.014455387009995126,0.0712175795813289,0.07964105459488258,0.014833798404438282,0.048157405446885536,0.12360433985887495,6.358304893490374e-05,0.062084966902822114,0.026411129352283742,0.10885062507995631,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.372460430715797,0.9999704050183138,0.14,plateau_0.14,19,0.0017272137162901559,0.1209799410680645,0.11925272735177435,0.1192562567385085,0.014455387009995126,0.0712175795813289,0.07959323034894507,0.014439331381505717,0.048157405446885536,0.12360433985887495,1.5758802997395405e-05,0.062209605168994375,0.026411129352283742,0.12093942891299791,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.372460430715797,0.9999704050183138,0.16,plateau_0.16,20,0.0017272137162901559,0.15319118429617243,0.15146397057988228,0.15146845328598332,0.018304173699959028,0.08469810522948855,0.0792473606298362,0.014075468963545792,0.048157405446885536,0.12360433985887495,-0.0003301109161114729,0.06284738643425018,0.026411129352283742,0.13716362467025725,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
40000,40000,40000,16.372460430715797,0.999970405695403,0.01,plateau_0.01,9,0.001388490131836454,0.009917766310941102,0.008529276179104648,0.008529528604572241,0.003710892163968356,0.06835647867570126,0.08094900445117748,0.01705646431410863,0.05399464024683256,0.11872505589102053,0.0013715329052298025,0.04755894411473367,0.025992496247680307,0.06112372200714381,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
40000,40000,40000,16.372460430715797,0.999970405695403,0.02,plateau_0.02,11,0.001388490131836454,0.016213681565991,0.014825191434154547,0.014825630188370185,0.004744737806783123,0.08132545066288184,0.08094900445117748,0.015582788761768532,0.05399464024683256,0.11872505589102053,0.0013715329052298025,0.04873988676102814,0.025992496247680307,0.06112372200714381,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
40000,40000,40000,16.372460430715797,0.999970405695403,0.04,plateau_0.04,14,0.001388490131836454,0.033890914811272835,0.032502424679436384,0.032503386594559695,0.007756753436349139,0.08568338381956098,0.08031518793989527,0.013848861998907775,0.05399464024683256,0.11872505589102053,0.0007377163939475961,0.055875632419762226,0.025992496247680307,0.0749801471189995,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
40000,40000,40000,16.372460430715797,0.999970405695403,0.06,plateau_0.06,16,0.001388490131836454,0.05540526803136216,0.05401677789952571,0.054018376535814754,0.009917766310941102,0.07968137142861306,0.08030984021364221,0.012958088658489355,0.05399464024683256,0.11872505589102053,0.0007323686676945357,0.0568458957767085,0.025992496247680307,0.0918256310950187,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
40000,40000,40000,16.372460430715797,0.999970405695403,0.08,plateau_0.08,17,0.001388490131836454,0.07084104261392335,0.0694525524820869,0.06945460794291003,0.009917766310941102,0.07968137142861306,0.07968137142861306,0.012577554630148756,0.05399464024683256,0.11872505589102053,0.00010389988266538974,0.057405734598885504,0.025992496247680307,0.09756601165586241,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
40000,40000,40000,16.372460430715797,0.999970405695403,0.1,plateau_0.10,18,0.001388490131836454,0.09057718691635974,0.08918869678452329,0.08919133634009836,0.01268083218134805,0.08266583934663771,0.07979884934652023,0.012223285286917171,0.05399464024683256,0.11872505589102053,0.0002213778005725614,0.05916371385803029,0.025992496247680307,0.11062687059978642,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
40000,40000,40000,16.372460430715797,0.999970405695403,0.12,plateau_0.12,19,0.001388490131836454,0.11581177361255664,0.11442328348072019,0.114426669858442,0.01268083218134805,0.08266583934663771,0.07968137142861306,0.01189777779708215,0.05399464024683256,0.11872505589102053,0.00010389988266538974,0.060921693117175074,0.025992496247680307,0.12330679756757805,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
40000,40000,40000,16.372460430715797,0.999970405695403,0.14,plateau_0.14,19,0.001388490131836454,0.11581177361255664,0.11442328348072019,0.114426669858442,0.01268083218134805,0.08266583934663771,0.07968137142861306,0.01189777779708215,0.05399464024683256,0.11872505589102053,0.00010389988266538974,0.060921693117175074,0.025992496247680307,0.12330679756757805,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
40000,40000,40000,16.372460430715797,0.999970405695403,0.16,plateau_0.16,20,0.001388490131836454,0.1480766555454106,0.14668816541357416,0.14669250667629885,0.016213681565991,0.07314947309276149,0.07957064989416278,0.011599534158438507,0.05399464024683256,0.11872505589102053,-6.821651784894023e-06,0.06102270756215944,0.025992496247680307,0.13932182265322565,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
48000,48000,48000,16.372460430715797,0.9999704010903698,0.01,plateau_0.01,9,0.0011616703348980054,0.008840875383635668,0.007679205048737663,0.007679432351561848,0.003204712571776068,0.06622072400246205,0.07881321235366093,0.015744257000572043,0.05230488429094565,0.11501537599559536,-0.0007642591922867453,0.047074556576937335,0.02527300737826378,0.05932082125151337,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
48000,48000,48000,16.372460430715797,0.9999704010903698,0.02,plateau_0.02,12,0.0011616703348980054,0.018924521518401013,0.017762851183503008,0.017763376960092375,0.0053228248597378056,0.08137296725670537,0.07967654318940723,0.013702447754500842,0.05230488429094565,0.11501537599559536,9.907164345955566e-05,0.05154900814507684,0.02527300737826378,0.06746736932054263,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
