Knot,Ropelength,Writhe,Average Crossing Number
12a236,106.07736,16.93793,46.03128938
12a237,107.35084,14.05256,48.1764651
12a238,107.26452,14.07661,47.19731821
12a239,108.86382,11.32512,44.78956282
12a240,108.04571,11.96906,48.06754272
12a241,109.54495,9.06397,48.82067774
12a242,107.95587,4.90139,47.52820969
12a243,108.71909,2.05858,47.30593966
12a244,107.60197,9.08819,50.43968551
12a245,106.66464,2.13856,50.21406119
12a246,109.11197,9.67261,46.84531776
12a247,107.86042,6.8335,48.00801108
12a248,105.41861,4.20575,48.41706691
12a249,106.39855,9.01241,48.4647573
12a250,106.2399,9.84683,48.05462401
12a251,109.86255,7.09034,48.69596849
12a252,107.53167,17.10157,45.53778587
12a253,106.20014,13.94693,47.59309113
12a254,106.12168,13.94954,48.61366158
12a255,104.96135,11.12052,48.36960374
12a256,105.88742,7.03362,49.57374759
12a257,108.79456,7.05008,49.39429566
12a258,107.76368,0.15584,47.86863152
12a259,108.65597,2.53717,47.17240904
12a260,107.54541,2.64558,50.67605703
12a261,107.13776,2.14872,49.0088399
12a262,106.67581,2.83346,48.62486415
12a263,110.69749,6.90468,49.5600087
12a264,107.54888,5.00457,50.97176074
12a265,110.62944,0.25103,49.98607204
12a266,106.99557,11.82765,50.12372317
12a267,106.68251,9.02477,49.88180789
12a268,107.7715,0.0599,50.28568234
12a269,105.46202,13.90875,48.10608248
12a270,105.40417,11.0631,46.66678349
12a271,106.37047,2.14806,49.00369476
12a272,107.21756,4.92068,48.90266075
12a273,109.59712,0.00658,49.70713493
12a274,107.31889,11.95453,47.39673217
12a275,106.88518,9.09827,48.3825148
12a276,105.45134,23.91838,48.16552432
12a277,106.5245,21.03817,47.10206336
12a278,104.91101,4.94748,47.20448627
12a279,106.2466,2.02097,47.45072647
12a280,106.82619,7.00434,47.74758761
12a281,107.60718,11.81419,48.17253287
12a282,108.79647,0.02299,49.55378459
12a283,109.0328,4.93604,50.10425843
12a284,105.71281,4.94167,49.35358034
12a285,106.93969,4.89378,50.65825849
12a286,106.59257,2.03561,50.11141755
12a287,107.39714,6.96536,49.4166444
12a288,107.26911,6.97598,50.7429342
12a289,105.85339,14.02134,49.48112715
12a290,108.43871,7.16219,49.70949237
12a291,106.56903,4.19006,50.23962501
12a292,106.83631,4.91198,50.02850786
12a293,107.11464,20.88954,50.35122268
12a294,107.54861,11.94226,50.46477175
12a295,107.74118,20.93843,49.59961302
12a296,107.16155,6.89471,49.8616981
12a297,106.44762,12.00552,47.6860877
12a298,109.39308,4.69948,47.71605943
12a299,107.76904,9.65824,48.35089612
12a300,109.22233,6.84162,49.05862396
12a301,107.03269,2.09368,50.93461109
12a302,109.42866,9.40459,48.8159368
12a303,109.32198,2.30641,47.75260728
12a304,108.9025,9.60797,48.23522844
12a305,106.98102,4.85191,47.87167385
12a306,110.06473,6.89967,49.31862944
12a307,109.74842,2.11214,49.19302672
12a308,105.94866,1.98478,50.09860392
12a309,107.2247,1.93916,51.40772285
12a310,111.68688,0.43784,50.02466065
12a311,106.45598,14.05741,49.1202248
12a312,105.9373,11.15068,48.64444513
12a313,108.64743,9.25147,50.42365377
12a314,106.36801,14.02325,50.78169923
12a315,107.83354,14.01067,49.15490933
12a316,109.27569,0.17532,50.31614077
12a317,107.24362,9.22673,49.8755658
12a318,106.22652,4.96837,49.23079645
12a319,106.85592,21.01652,49.00538523
12a320,105.20529,18.08333,49.04240499
12a321,106.43033,16.80111,48.74775233
12a322,106.09745,14.00626,49.78268904
12a323,106.32728,0.02536,50.14405306
12a324,106.66817,4.77555,50.43721277
12a325,108.14491,4.81951,50.16569485
12a326,106.0605,9.12036,50.36937826
12a327,105.7172,9.13526,48.32795678
12a328,108.83902,4.76948,50.23356977
12a329,106.91683,13.94989,47.72131531
12a330,107.4851,11.21762,45.28185222
12a331,108.24878,11.94833,49.1458037
12a332,108.25087,8.98653,50.06887096
12a333,113.30055,0.01254,51.45493152
12a334,106.9286,2.18489,49.83748831
12a335,109.55871,4.97413,50.62699003
12a336,109.78317,14.10378,49.31722885
12a337,108.67511,6.73046,50.42038172
12a338,107.64034,6.95838,49.3655735
12a339,105.71235,11.12343,50.1663067
12a340,108.19028,6.91009,49.08937001
12a341,107.06772,0.00163,50.66599978
12a342,106.90505,0.02721,50.13149059
12a343,106.07844,6.94733,50.00234938
12a344,107.7,20.92249,48.67085947
12a345,106.2716,18.18736,47.76324506
12a346,108.61934,2.04083,48.96560195
12a347,107.27402,4.86374,49.58250603
12a348,106.76073,0.14478,49.94765024
12a349,106.35465,11.93881,49.32661045
12a350,107.38832,14.0354,50.17114078
12a351,106.73868,2.11906,49.55136069
12a352,107.08137,7.01503,49.41593898
12a353,109.70607,9.28459,48.65074629
12a354,107.27339,9.0411,50.48798499
12a355,104.95754,20.98981,48.04289552
12a356,105.71652,18.13686,47.00106527
12a357,106.74813,2.19936,48.59208878
12a358,108.21899,4.85642,50.41475943
12a359,106.75711,0.08439,49.46597673
12a360,107.62806,2.13488,51.18419415
12a361,108.31501,0.07714,51.22117005
12a362,106.35343,11.96221,50.09182387
12a363,108.36055,11.89896,49.00588784
12a364,108.23746,7.01163,50.91503439
12a365,107.39244,2.74424,47.47787725
12a366,106.18576,0.09145,48.65736216
12a367,106.61573,23.70506,46.04395198
12a368,106.75143,21.04764,48.4934636
12a369,103.83641,14.93841,44.81516972
12a370,106.51115,11.93841,47.0605243
12a371,104.36808,12.00285,46.55163282
12a372,107.43984,9.12644,47.31961911
12a373,105.24287,16.84947,47.74694241
12a374,106.689,0.10407,48.85654939
12a375,105.39507,11.9759,46.24583809
12a376,107.04825,9.17886,46.01966138
12a377,107.86483,0.08308,50.57945449
12a378,110.17728,2.35433,47.14317021
12a379,103.14383,9.03192,46.08069895
12a380,104.36806,6.13864,45.47088377
12a381,106.67293,7.13371,49.83088135
