N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_spread,A_ratio,a_fit_ref_dimless,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,uses_local_sst_core,ideal_source,notes
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,12,0.0901728683258493,0.03440565878842709,1.1331456827424315,0.06555850698265145,1.499839101698793e-15,1.0644931550955354,0.003,2,1,1,closest_to_a_nc,1.4742147130189952e-15,1.0463065467305068,1.4631944263939797e-36,-0.013529669519089627,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12; Biot-Savart downsampled
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,12,0.0901728683258493,0.03440565878842709,1.1331456827424315,0.06555850698265145,1.499839101698793e-15,1.0644931550955354,0.01,2,1,1,closest_to_a_nc,1.4368158650926508e-15,1.0197631544553216,1.4793390591887458e-36,-0.040073061794274834,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12; Biot-Savart downsampled
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,14,0.0901728683258493,0.03479938224035471,1.1331456827424315,0.07358620150174203,1.499839101698793e-15,1.0644931550955354,0.0,2,1,1,closest_to_a_nc,1.4932776137813508e-15,1.0598362162495965,1.4657917008432774e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=14; Biot-Savart downsampled; no-contact case
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,14,0.0901728683258493,0.03479938224035471,1.1331456827424315,0.07358620150174203,1.499839101698793e-15,1.0644931550955354,0.001,2,1,1,closest_to_a_nc,1.4932776137813508e-15,1.0598362162495965,1.4682578824224042e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=14; Biot-Savart downsampled
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,14,0.0901728683258493,0.03479938224035471,1.1331456827424315,0.07358620150174203,1.499839101698793e-15,1.0644931550955354,0.003,2,1,1,closest_to_a_nc,1.4742147130189952e-15,1.0463065467305068,1.4731451446838257e-36,-0.013529669519089627,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=14; Biot-Savart downsampled
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,14,0.0901728683258493,0.03479938224035471,1.1331456827424315,0.07358620150174203,1.499839101698793e-15,1.0644931550955354,0.01,2,1,1,closest_to_a_nc,1.4368158650926508e-15,1.0197631544553216,1.4892897774785918e-36,-0.040073061794274834,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=14; Biot-Savart downsampled
4000,4000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.0,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.553623770475713e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",no-contact case
4000,4000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.001,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.5556614624394638e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",
4000,4000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.003,2,1,1,closest_to_a_nc,1.3824889699874752e-15,0.9812052798729409,1.5596003689773497e-36,-0.012687852530933186,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",
4000,4000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.01,2,1,1,closest_to_a_nc,1.3474170810069776e-15,0.9563134193302173,1.5728266304226324e-36,-0.03757971307365682,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",
