N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_spread,A_ratio,a_fit_ref_dimless,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,notes
8000,16000,8000,16.371498082260015,0.9973852756688407,plateau_0.16,0.16,19,0.07890396698414219,0.011677807892678204,0.9915364920658908,0.03257836437614751,1.4029950820828271e-15,0.9957592516545805,0.001,2,1,1,closest_to_a_nc,1.3967450240318207e-15,0.9913233464920131,1.5576473137925233e-36,0.0,True,stable,n_plateau=19
8000,16000,8000,16.371498082260015,0.9973852756688407,plateau_0.16,0.16,19,0.07890396698414219,0.011677807892678204,0.9915364920658908,0.03257836437614751,1.4029950820828271e-15,0.9957592516545805,0.003,2,1,1,closest_to_a_nc,1.3789144401285312e-15,0.9786682993640179,1.5617051133271933e-36,-0.012655047127995256,True,drift,n_plateau=19
8000,16000,8000,16.371498082260015,0.9973852756688407,plateau_0.16,0.16,19,0.07890396698414219,0.011677807892678204,0.9915364920658908,0.03257836437614751,1.4029950820828271e-15,0.9957592516545805,0.01,2,1,1,closest_to_a_nc,1.343933232171246e-15,0.9538407986105525,1.5751651495016917e-36,-0.03748254788146066,True,drift,n_plateau=19
8000,32000,8000,16.371498082260015,0.9973852756688407,global,,0,0.07854691495457537,nan,0.987049643933745,0.0505440846305893,1.3998171034852568e-15,0.9935037187375348,0.0,2,1,1,closest_to_a_nc,1.3967450240318207e-15,0.9913233464920131,1.5532191193434877e-36,0.0,True,stable,no-contact case
8000,32000,8000,16.371498082260015,0.9973852756688407,global,,0,0.07854691495457537,nan,0.987049643933745,0.0505440846305893,1.3998171034852568e-15,0.9935037187375348,0.001,2,1,1,closest_to_a_nc,1.3967450240318207e-15,0.9913233464920131,1.5552566915347876e-36,0.0,True,stable,
8000,32000,8000,16.371498082260015,0.9973852756688407,global,,0,0.07854691495457537,nan,0.987049643933745,0.0505440846305893,1.3998171034852568e-15,0.9935037187375348,0.003,2,1,1,closest_to_a_nc,1.3789144401285312e-15,0.9786682993640179,1.55927084849219e-36,-0.012655047127995256,True,drift,
8000,32000,8000,16.371498082260015,0.9973852756688407,global,,0,0.07854691495457537,nan,0.987049643933745,0.0505440846305893,1.3998171034852568e-15,0.9935037187375348,0.01,2,1,1,closest_to_a_nc,1.343933232171246e-15,0.9538407986105525,1.5726435995121545e-36,-0.03748254788146066,True,drift,
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.08,0.08,15,0.07890396698414219,0.013136438411110212,0.9915364920658908,0.022926429752606853,1.4029950820828271e-15,0.9957592516545805,0.0,2,1,1,closest_to_a_nc,1.3967450240318207e-15,0.9913233464920131,1.5411854164337152e-36,0.0,True,stable,n_plateau=15; no-contact case
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.08,0.08,15,0.07890396698414219,0.013136438411110212,0.9915364920658908,0.022926429752606853,1.4029950820828271e-15,0.9957592516545805,0.001,2,1,1,closest_to_a_nc,1.3967450240318207e-15,0.9913233464920131,1.543222988625015e-36,0.0,True,stable,n_plateau=15
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.08,0.08,15,0.07890396698414219,0.013136438411110212,0.9915364920658908,0.022926429752606853,1.4029950820828271e-15,0.9957592516545805,0.003,2,1,1,closest_to_a_nc,1.3789144401285312e-15,0.9786682993640179,1.547280788159685e-36,-0.012655047127995256,True,drift,n_plateau=15
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.08,0.08,15,0.07890396698414219,0.013136438411110212,0.9915364920658908,0.022926429752606853,1.4029950820828271e-15,0.9957592516545805,0.01,2,1,1,closest_to_a_nc,1.343933232171246e-15,0.9538407986105525,1.5607408243341835e-36,-0.03748254788146066,True,drift,n_plateau=15
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.12,0.12,17,0.08023612285887871,0.012341234469082016,1.0082768565039257,0.02732957340180369,1.414789072774952e-15,1.0041298977784263,0.0,2,1,1,closest_to_a_nc,1.4148061731631477e-15,1.0041420345777425,1.528645312954525e-36,0.0,True,stable,n_plateau=17; no-contact case
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.12,0.12,17,0.08023612285887871,0.012341234469082016,1.0082768565039257,0.02732957340180369,1.414789072774952e-15,1.0041298977784263,0.001,2,1,1,closest_to_a_nc,1.4148061731631477e-15,1.0041420345777425,1.530761169108225e-36,0.0,True,stable,n_plateau=17
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.12,0.12,17,0.08023612285887871,0.012341234469082016,1.0082768565039257,0.02732957340180369,1.414789072774952e-15,1.0041298977784263,0.003,2,1,1,closest_to_a_nc,1.3967450240318207e-15,0.9913233464920131,1.534882727053432e-36,-0.01281868808572939,True,stable,n_plateau=17
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.12,0.12,17,0.08023612285887871,0.012341234469082016,1.0082768565039257,0.02732957340180369,1.414789072774952e-15,1.0041298977784263,0.01,2,1,1,closest_to_a_nc,1.3613114781009986e-15,0.9661748041841074,1.5486585118014337e-36,-0.03796723039363514,True,drift,n_plateau=17
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.16,0.16,19,0.07890396698414219,0.011677807892678204,0.9915364920658908,0.03257836437614751,1.4029950820828271e-15,0.9957592516545805,0.0,2,1,1,closest_to_a_nc,1.3967450240318207e-15,0.9913233464920131,1.5556097416012234e-36,0.0,True,stable,n_plateau=19; no-contact case
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.16,0.16,19,0.07890396698414219,0.011677807892678204,0.9915364920658908,0.03257836437614751,1.4029950820828271e-15,0.9957592516545805,0.001,2,1,1,closest_to_a_nc,1.3967450240318207e-15,0.9913233464920131,1.5576473137925233e-36,0.0,True,stable,n_plateau=19
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.16,0.16,19,0.07890396698414219,0.011677807892678204,0.9915364920658908,0.03257836437614751,1.4029950820828271e-15,0.9957592516545805,0.003,2,1,1,closest_to_a_nc,1.3789144401285312e-15,0.9786682993640179,1.5617051133271933e-36,-0.012655047127995256,True,drift,n_plateau=19
8000,32000,8000,16.371498082260015,0.9973852756688407,plateau_0.16,0.16,19,0.07890396698414219,0.011677807892678204,0.9915364920658908,0.03257836437614751,1.4029950820828271e-15,0.9957592516545805,0.01,2,1,1,closest_to_a_nc,1.343933232171246e-15,0.9538407986105525,1.5751651495016917e-36,-0.03748254788146066,True,drift,n_plateau=19
16000,2000,2000,16.37149808226001,0.9973881201505714,global,,0,0.07921422632441684,nan,0.9954353259223485,0.09808780141115098,1.4057507436783603e-15,0.9977150500484764,0.0,2,1,1,closest_to_a_nc,1.4148102081037235e-15,1.0041448983293404,1.5531864616251145e-36,0.0,True,stable,Biot-Savart downsampled; no-contact case
16000,2000,2000,16.37149808226001,0.9973881201505714,global,,0,0.07921422632441684,nan,0.9954353259223485,0.09808780141115098,1.4057507436783603e-15,0.9977150500484764,0.001,2,1,1,closest_to_a_nc,1.3967490074630993e-15,0.9913261736854935,1.5552237693914187e-36,-0.012818724643846924,True,stable,Biot-Savart downsampled
16000,2000,2000,16.37149808226001,0.9973881201505714,global,,0,0.07921422632441684,nan,0.9954353259223485,0.09808780141115098,1.4057507436783603e-15,0.9977150500484764,0.003,2,1,1,closest_to_a_nc,1.3967490074630993e-15,0.9913261736854935,1.559298913774018e-36,-0.012818724643846924,True,stable,Biot-Savart downsampled
16000,2000,2000,16.37149808226001,0.9973881201505714,global,,0,0.07921422632441684,nan,0.9954353259223485,0.09808780141115098,1.4057507436783603e-15,0.9977150500484764,0.01,2,1,1,closest_to_a_nc,1.3613153604779794e-15,0.9661775596554889,1.572824778789677e-36,-0.03796733867385149,True,drift,Biot-Savart downsampled
16000,2000,2000,16.37149808226001,0.9973881201505714,plateau_0.08,0.08,8,0.09216969041544062,0.03764645423636326,1.1582384891711752,0.05199430225180731,1.5163546726541507e-15,1.0762148872563786,0.0,2,1,1,closest_to_a_nc,1.5086804091716345e-15,1.0707681690462152,1.4247950627837599e-36,0.0,True,inconclusive,n_plateau=8; Biot-Savart downsampled; no-contact case
16000,2000,2000,16.37149808226001,0.9973881201505714,plateau_0.08,0.08,8,0.09216969041544062,0.03764645423636326,1.1582384891711752,0.05199430225180731,1.5163546726541507e-15,1.0762148872563786,0.001,2,1,1,closest_to_a_nc,1.5086804091716345e-15,1.0707681690462152,1.427358935153019e-36,0.0,True,inconclusive,n_plateau=8; Biot-Savart downsampled
