knot_id,mode,N_geom,N_int_target,N_int_actual,R_t_over_r_t,L_dimless,d_min_dimless,scan_idx,a_scan_m,a_scan_over_rc,E_scan_J,ideal_source,bs_backend
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,19,0.055839791000923386,39631634643424.27,1.135944884132764,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,20,0.07095540805896501,50359765997718.04,1.0164002826183578,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,21,0.09016276462659009,63991961324908.734,0.8968172076530997,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,22,0.11456947888107819,81314339593916.44,0.7779355282111633,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,23,0.14558299698821298,103325819160680.3,0.6583769412885613,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,0,0.0004712388980384689,334456263214.1949,3.444467214417559,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,1,0.0006046343839245653,429132139770.2587,3.444467214417559,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,2,0.0007757906652985907,550608296624.6124,3.319467237035346,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,3,0.0009953968420683093,706471196667.215,3.136133965901056,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,4,0.001277167820546298,906454833281.7422,3.002205479289381,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,5,0.0016387008406111066,1163048640420.192,2.8966500311686656,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,6,0.0021025744634490676,1492277486221.7754,2.7710674841467164,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,7,0.002697758654166258,1914702462555.5115,2.6413584509694905,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,8,0.0034614240221439068,2456704972074.6797,2.515728652626944,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,9,0.004441263210321447,3152134306946.645,2.397550623383628,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,10,0.005698469409459342,4044421614305.249,2.2738580146272813,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,11,0.007311558012386665,5189292270386.863,2.1527963366274068,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,12,0.009381270079252334,6658246057297.532,2.029541982389369,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,13,0.012036863846361956,8543022487383.076,1.9038936294071929,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,40000,40000,40000,nan,6.283185307179586,0.41587459718162106,14,0.015444187197668085,10961330144887.371,1.7775230230193766,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
