knot_id,mode,N_geom,N_int_target,N_int_actual,R_t_over_r_t,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_spread,A_ratio,a_K,a_fit_ref,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,uses_local_sst_core,ideal_source,notes,bs_backend,t_geometry_s,t_scan_s,t_fit_s,t_total_block_s,contact_model,root_selection_mode,closure_x_from_A,closure_x_minus_1,beta_dimless,F_at_x1,contact_force_at_x1,continuation_prev_a_star_over_rc,continuation_jump,theorem_candidate_no_contact,theorem_candidate_full_model,root_solver_space,F_at_root,root_xtol,root_rtol
9;1:2,ideal,48000,48000,48000,nan,16.37149808226001,0.9973848903377615,plateau_0.04,0.04,14,0.07992442485700885,0.011054186210271471,1.0043599438926738,-0.24772126043581322,0.006853770217170335,1.4120383448135954e-15,1.0021776009733374,0.001,2,1,1,continuation,1.4063614515928908e-15,0.9981484928051321,1.5470041634400758e-36,0.0018515071948679296,True,stable,True,fallback hardcoded 30-mode coefficients,parallel_theorem_candidate,local_cpp_scan,118.6663155999995,21.122577599991928,0.0046205999969970435,140.05777610000223,legacy,continuation,1.0021776009733374,0.0021776009733374124,6.2667540733723195,0.0037505941870840317,0.008110538079757833,1.0021776009733374,0.004029108168205342,False,False,dimensionless_x,1.700029006457271e-16,1e-14,1e-13
9;1:2,ideal,48000,48000,48000,nan,16.37149808226001,0.9973848903377615,plateau_0.04,0.04,14,0.07992442485700885,0.011054186210271471,1.0043599438926738,-0.24772126043581322,0.006853770217170335,1.4120383448135954e-15,1.0021776009733374,0.003,2,1,1,continuation,1.3953896530225344e-15,0.9903613878656738,1.551114414712188e-36,0.009638612134326152,True,stable,True,fallback hardcoded 30-mode coefficients,parallel_theorem_candidate,local_cpp_scan,118.6663155999995,21.122577599991928,0.0046205999969970435,140.0746458000067,legacy,continuation,1.0021776009733374,0.0021776009733374124,6.2667540733723195,0.019971670346599697,0.024331614239273498,0.9981484928051321,0.007787104939458223,False,False,dimensionless_x,4.9509008004378074e-15,1e-14,1e-13
9;1:2,ideal,48000,48000,48000,nan,16.37149808226001,0.9973848903377615,plateau_0.04,0.04,14,0.07992442485700885,0.011054186210271471,1.0043599438926738,-0.24772126043581322,0.006853770217170335,1.4120383448135954e-15,1.0021776009733374,0.01,2,1,1,continuation,1.3604360043351847e-15,0.9655534469797786,1.5648144146873042e-36,0.03444655302022137,True,drift,True,fallback hardcoded 30-mode coefficients,parallel_theorem_candidate,local_cpp_scan,118.6663155999995,21.122577599991928,0.0046205999969970435,140.09286649999558,legacy,continuation,1.0021776009733374,0.0021776009733374124,6.2667540733723195,0.07674543690490453,0.08110538079757833,0.9903613878656738,0.02480794088589522,False,False,dimensionless_x,1.5265566588595902e-16,1e-14,1e-13
9;1:2,ideal,48000,48000,48000,nan,16.37149808226001,0.9973848903377615,plateau_0.06,0.06,16,0.07971979826774167,0.010340575978080564,1.00178853033439,-0.24668716203434493,0.008831991763922091,1.4102296000639994e-15,1.0008938656692776,0.0,2,1,1,closest_to_a_nc,1.4102296000639994e-15,1.0008938656692776,1.545733844062894e-36,0.000893865669277627,True,stable,True,fallback hardcoded 30-mode coefficients,parallel_theorem_candidate,local_cpp_scan,118.6663155999995,21.122577599991928,0.0046205999969970435,140.10832949999894,legacy,continuation,1.0008938656692776,0.000893865669277627,6.2667540733723195,-0.0017885303343900816,0.0,nan,nan,True,False,dimensionless_x,-2.220446049250313e-16,1e-14,1e-13
9;1:2,ideal,48000,48000,48000,nan,16.37149808226001,0.9973848903377615,plateau_0.06,0.06,16,0.07971979826774167,0.010340575978080564,1.00178853033439,-0.24668716203434493,0.008831991763922091,1.4102296000639994e-15,1.0008938656692776,0.001,2,1,1,continuation,1.404570033826102e-15,0.9968770551232479,1.5478172703079153e-36,0.0031229448767521317,True,stable,True,fallback hardcoded 30-mode coefficients,parallel_theorem_candidate,local_cpp_scan,118.6663155999995,21.122577599991928,0.0046205999969970435,140.12812249999843,legacy,continuation,1.0008938656692776,0.000893865669277627,6.2667540733723195,0.006322007745367751,0.008110538079757833,1.0008938656692776,0.004016810546029759,True,False,dimensionless_x,2.393918396847994e-16,1e-14,1e-13
9;1:2,ideal,48000,48000,48000,nan,16.37149808226001,0.9973848903377615,plateau_0.06,0.06,16,0.07971979826774167,0.010340575978080564,1.00178853033439,-0.24668716203434493,0.008831991763922091,1.4102296000639994e-15,1.0008938656692776,0.003,2,1,1,continuation,1.3936307477276611e-15,0.9891130255281849,1.5519122874695845e-36,0.01088697447181508,True,stable,True,fallback hardcoded 30-mode coefficients,parallel_theorem_candidate,local_cpp_scan,118.6663155999995,21.122577599991928,0.0046205999969970435,140.14776930000517,legacy,continuation,1.0008938656692776,0.000893865669277627,6.2667540733723195,0.022543083904883417,0.024331614239273498,0.9968770551232479,0.007764029595062949,True,False,dimensionless_x,4.794775687599895e-15,1e-14,1e-13
9;1:2,ideal,48000,48000,48000,nan,16.37149808226001,0.9973848903377615,plateau_0.06,0.06,16,0.07971979826774167,0.010340575978080564,1.00178853033439,-0.24668716203434493,0.008831991763922091,1.4102296000639994e-15,1.0008938656692776,0.01,2,1,1,continuation,1.3587729047008299e-15,0.9643730815825787,1.565562938993402e-36,0.03562691841742127,True,drift,True,fallback hardcoded 30-mode coefficients,parallel_theorem_candidate,local_cpp_scan,118.6663155999995,21.122577599991928,0.0046205999969970435,140.16665680000733,legacy,continuation,1.0008938656692776,0.000893865669277627,6.2667540733723195,0.07931685046318825,0.08110538079757833,0.9891130255281849,0.02473994394560619,True,False,dimensionless_x,4.163336342344337e-17,1e-14,1e-13
9;1:2,ideal,48000,48000,48000,nan,16.37149808226001,0.9973848903377615,plateau_0.08,0.08,17,0.07957048291905473,0.010032302235494294,0.9999121783243778,-0.24556357648493365,0.008831991763922091,1.4089082995809638e-15,0.9999560881980657,0.0,2,1,1,closest_to_a_nc,1.4089082995809638e-15,0.9999560881980657,1.5498418838973628e-36,4.391180193430433e-05,True,stable,True,fallback hardcoded 30-mode coefficients,parallel_theorem_candidate,local_cpp_scan,118.6663155999995,21.122577599991928,0.0046205999969970435,140.18222109999624,legacy,continuation,0.9999560881980657,-4.391180193430433e-05,6.2667540733723195,8.782167562215726e-05,0.0,nan,nan,True,True,dimensionless_x,-1.1102230246251565e-16,1e-14,1e-13
9;1:2,ideal,48000,48000,48000,nan,16.37149808226001,0.9973848903377615,plateau_0.08,0.08,17,0.07957048291905473,0.010032302235494294,0.9999121783243778,-0.24556357648493365,0.008831991763922091,1.4089082995809638e-15,0.9999560881980657,0.001,2,1,1,continuation,1.4032613597288723e-15,0.9959482390807977,1.5519196015074824e-36,0.004051760919202341,True,stable,True,fallback hardcoded 30-mode coefficients,parallel_theorem_candidate,local_cpp_scan,118.6663155999995,21.122577599991928,0.0046205999969970435,140.20126780000282,legacy,continuation,0.9999560881980657,-4.391180193430433e-05,6.2667540733723195,0.00819835975537999,0.008110538079757833,0.9999560881980657,0.004007849117268036,True,False,dimensionless_x,3.365363543395006e-16,1e-14,1e-13
9;1:2,ideal,48000,48000,48000,nan,16.37149808226001,0.9973848903377615,plateau_0.08,0.08,17,0.07957048291905473,0.010032302235494294,0.9999121783243778,-0.24556357648493365,0.008831991763922091,1.4089082995809638e-15,0.9999560881980657,0.003,2,1,1,continuation,1.3923457696704814e-15,0.988201027471349,1.5560035187239677e-36,0.01179897252865103,True,stable,True,fallback hardcoded 30-mode coefficients,parallel_theorem_candidate,local_cpp_scan,118.6663155999995,21.122577599991928,0.0046205999969970435,140.22019320000254,legacy,continuation,0.9999560881980657,-4.391180193430433e-05,6.2667540733723195,0.024419435914895656,0.024331614239273498,0.9959482390807977,0.00774721160944869,True,False,dimensionless_x,4.909267437014364e-15,1e-14,1e-13
